arquivo_rel,sha256_arquivo,queue_type,reason,sort
"drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf",4c693f23e4a6ff9e4af50a36d4bdb6ea15fdc31ad550a17ee98c706d8f8201ff,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_54|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,1
"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",8554fe74778230d315df2d5c011cf6e63b17896ca9da067fd00bd898e9731169,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_54|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,2
drive-download-20260403T124026Z-3-001_224929\605012154.pdf,a56ab60c5c3146bd921fefca52a01dfb5f90472b0bed356f0c58e934cdd995cc,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_54|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,3
drive-download-20260403T124026Z-3-001_224929\605012170.pdf,5c19f70793730b61163dfda04b8cf593628c3a7abd0b064557f80fa3cb01f43b,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_54|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,4
drive-download-20260403T124026Z-3-001_224929\605012203.pdf,96b4d935d470016f48468b525ad0626cb070e071377b00c4c2712c0a873a1ef5,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_54|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,5
drive-download-20260403T124026Z-3-001_224929\605012205.pdf,78ae57b1dc1d35e5aec577cb43e2baf46f663f507db8a4e86d3ec480bbee89d7,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_54|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,6
drive-download-20260403T124026Z-3-001_224929\605012216.pdf,e8b3bb89648bb589f56cd249b3ed582a75dd97d7ade1bfdbe3afba8bca638b2a,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_54|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,7
drive-download-20260403T124026Z-3-001_224929\605012228.pdf,d32d6f01e36886d53db870f97d88a02afc8fce2375107afec5f92fe0d2cbd7c3,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_54|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,8
drive-download-20260403T124026Z-3-001_224929\605012236.pdf,b1d9e03935fa0da56e03004e72aaaaf73058b7b0c818ebfa18f98c892d018fa8,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_54|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,9
drive-download-20260403T124026Z-3-001_224929\605012264.pdf,5b69b194e9fe53488af4ef3b9d84cee076d31d14dee9497212cdd8373b69535d,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_54|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,10
drive-download-20260403T124026Z-3-001_224929\605012274.pdf,15e99579e6bbfe4d9e97f6b16d57a89853696a8de7823776e3ae79d52db82311,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_54|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,11
drive-download-20260403T124026Z-3-001_224929\605012278.pdf,9bf17a813cea31e71dbc0f4ef0813e0d75633a27f1af74f910dee119fe336739,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_54|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,12
drive-download-20260403T124026Z-3-001_224929\605012286.pdf,18ea81cc6aa7da63dab6a0835b8c78e9a7d43c71be8a988d97a66d513e390881,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_54|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,13
drive-download-20260403T124026Z-3-001_224929\605012309.pdf,fab1d299ce3608caa79846ee761b6dd02500a58e3591d36357bd0075436b3db4,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_54|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,14
