arquivo_rel,sha256_arquivo,queue_type,reason,sort
drive-download-20260403T124026Z-3-001_224929\605028115.pdf,2661df4e7d7c4e08a3c8180d6f1d3aa4d7be9cab0f4af0350b200a17ec6bbb41,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_45|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,1
drive-download-20260403T124026Z-3-001_224929\605028315.pdf,7d5025ab95af711383410e78a15e65acdfabb86b3a237d77bc75a2d805a0c029,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_45|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,2
drive-download-20260403T124026Z-3-001_224929\605028715.pdf,3fa9a1fb17e811b48acbe9e048f36d5fc6d49cef8fd2c0af871459563bd73154,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_45|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,3
drive-download-20260403T124026Z-3-001_224929\605029715.pdf,73dab5ef21ec52f95a5b95f9075ce3ed4b6c0d01c9bb18e6eecbdf78bc1fa21c,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_45|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,4
drive-download-20260403T124026Z-3-001_224929\605041001.pdf,60691ca298c07dc35d82598d3c640ef92276df1f7415a849a55547f5a6ca7dd3,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_45|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,5
drive-download-20260408T000443Z-3-001_253069\BOBI.PDF,775a68ef06ab88e4356b16f9a68450c35c44d4196ad25ce4cf65bcc988a198af,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_45|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,6
drive-download-20260408T000443Z-3-001_253069\Esquema Eletrico Geradores Branco.pdf,a70f0808a2546e26e841ee5eddfa9befc75e3cf5b8ed2b978afef46f2b139d99,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_45|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,7
drive-download-20260408T000443Z-3-001_253069\EST.PDF,d2eff465099ef47779632f1be33c316de20cd6a9dc6e688aada455ba7bec00ed,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_45|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,8
drive-download-20260408T000443Z-3-001_253069\GERADOR 15 KVA (1).pdf,7fdc6f5c0084d011a25e66ad6809b252a0b4f9009c750e59bdd003ab6da74695,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_45|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,9
drive-download-20260408T000443Z-3-001_253069\REGULADOR CR.pdf,ebd33a6dc9161c8f2bcf50cff3a45d813f6fd22aefdfa95313a899fa8cffe722,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_45|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,10
drive-download-20260408T000443Z-3-001_253069\REGULADOR EB.pdf,3941a5323343ec8afb44a4e43215ed063a740467972c92ded2ff9bd1adf891f9,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_45|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,11
drive-download-20260408T000443Z-3-001_253069\REGULADOR ESCOVA.pdf,f7167d64358bab48684fdfa3a4ffead8f992d058b5d7aa98dee97382707c951f,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_45|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,12
drive-download-20260408T000443Z-3-001_253069\ROT.PDF,4f273f067082d0739075a014e13e9362649c9259de4338ccc93e80463213e2ec,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_45|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,13
drive-download-20260408T000443Z-3-001_253069\TC.PDF,b3d821cb61759a3f86b2af646f7f9a153fcfbec75baa15a4661d5edc3a634b60,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_45|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,14
