id_local,arquivo_rel,sha256_arquivo,extract_status,categoria_pos_auditoria,reconcile_outcome,output_tag,motivo_interno
000001,drive-download-20260403T124026Z-3-001_224929\605012382.pdf,dc38ac7a117ce75fee1d119d61923478fcb2d37b2d1cf1088ea2ceeb31770e95,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_56_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_56_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_56
000002,drive-download-20260403T124026Z-3-001_224929\605012385.pdf,6590bea4264576c10d678fd5247149884c3cfff77c67d5aacbc297ef5f768007,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_56_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_56_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_56
000003,drive-download-20260403T124026Z-3-001_224929\605012388.pdf,89ce750428b7a9197b98ab68d767b3598df39b7de4d19aa98e0228fe46a0df5e,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_56_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_56_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_56
000004,drive-download-20260403T124026Z-3-001_224929\605012397.pdf,0922b5c473bffab2c2c9e1e1fda07a49a83a35f9f4bef7565920716d41dcae55,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_56_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_56_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_56
000005,drive-download-20260403T124026Z-3-001_224929\605012403.pdf,1b63dcbe384a407b2d8f4c9c42b97c11bd519f2c92b4b5a398bf541e410ef5e1,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_56_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_56_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_56
000006,drive-download-20260403T124026Z-3-001_224929\605012404.pdf,7d248cb70cc2a3cd1bfa06446f87d19673f33db3cc91aacb5c43b93a3a3d44ee,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_56_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_56_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_56
000007,drive-download-20260403T124026Z-3-001_224929\605012405.pdf,4dad777a958cf018060c8a6e2687a61c52d671f1bbf81f5f8343dfbd615bd1f4,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_56_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_56_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_56
000008,drive-download-20260403T124026Z-3-001_224929\605012413.pdf,4c496d2757bbb085491acfd105915ea4e6ad74fdb3b4fcae38cf1908cbe08118,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_56_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_56_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_56
000009,drive-download-20260403T124026Z-3-001_224929\605012426.pdf,a5a474a6cffe321a1fee923ceed3628564f0687a9116a0b719da532473a984de,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_56_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_56_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_56
000010,drive-download-20260403T124026Z-3-001_224929\605013028.pdf,b641c3b18aa1404a137471df2893327afc6ec6d04daab5e4e7665b59f22125c1,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_56_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_56_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_56
000011,drive-download-20260403T124026Z-3-001_224929\605013055.pdf,d555f9170e566100e9ded04d895c1094eb746d3c72afd852f4ef148736cdffdc,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_56_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_56_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_56
000012,"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",8554fe74778230d315df2d5c011cf6e63b17896ca9da067fd00bd898e9731169,VERDE_AUTO_GEMINI,VERDE_COM_ALERTA,PASS1_V2_BLOCO_56_VERDE_COM_ALERTA,extraidos_motor_fase7a_pass1_v2_block_56_flash,categorize_VERDE_COM_ALERTA_PASS1_V2_BLOCO_56
