arquivo_rel,sha256_arquivo,queue_type,reason,sort
"drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf",4c693f23e4a6ff9e4af50a36d4bdb6ea15fdc31ad550a17ee98c706d8f8201ff,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_48|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,1
"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",8554fe74778230d315df2d5c011cf6e63b17896ca9da067fd00bd898e9731169,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_48|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,2
drive-download-20260403T124026Z-3-001_224929\12.5cv 2p iec132 234 60hz 112x150 606502420.pdf,bcde71cb36a102307bbac954c94f80a00b0bacbcf9adf34454c539919a7730ed,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_48|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,3
drive-download-20260403T124026Z-3-001_224929\12.5cv 4p iec132 24 60hz 148.9x190 605084014.pdf,bdae30c79a8632f26b3ce02de470659a72897d7ebc04ebd7f5b2e6f190f1c3d1,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_48|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,4
drive-download-20260403T124026Z-3-001_224929\1cv 2p iec80 23 50hz 61.4x70 605028106.pdf,25f673567202b88f56a16794693d0d2fa1ebdcd7d94d27761e82dba9ac3c29d0,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_48|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,5
drive-download-20260403T124026Z-3-001_224929\1cv 2p iec80 23 60hz 50x61.4 605015139.pdf,8e79be785cd2bfa1b0d7ece2b2071a1abcf8aa61b41a28fc379544b7a314c69b,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_48|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,6
"drive-download-20260403T124026Z-3-001_224929\1cv 2p iec90 23 50,60hz 50x74.4 605015208.pdf",96664c70b8d3562bccf882700db201d57c7a40ceffa13a059f996f00bdde5d43,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_48|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,7
drive-download-20260403T124026Z-3-001_224929\1cv 2p nema42 2 60hz 60x57.9 605012266.pdf,c9a7984cb48e631592d2637ebf81495a7d60bf2d2ca08ef3d8f6eb10f74bd0b3,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_48|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,8
drive-download-20260403T124026Z-3-001_224929\1cv 2p nema42 23 60hz 70x57.9 605066006.pdf,8c9f90df3d5e79f32eacc2870646ffa11bc8334490eaa4d612128623efd7bf40,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_48|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,9
drive-download-20260403T124026Z-3-001_224929\1cv 2p nema56 23 60hz 50x71.7 605015061.pdf,3d5c342700f30c9ca9243a5a4bd1a9573acf548b0d8e919307a339f7969a57dc,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_48|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,10
drive-download-20260403T124026Z-3-001_224929\1cv 4p iec90 23 60hz 89.5x75 605039014.pdf,6745932b3ec80099e4230f00e02d3ee1c5cce1e6dcdd101bc95cb3f13a2079d6,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_48|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,11
drive-download-20260403T124026Z-3-001_224929\1cv 4p nema42 23 60hz 60x68 605007189.pdf,04d5f1bcfb086ec72c23a567a70e97146162f8b0a8bda290686b0657b946bf05,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_48|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,12
"drive-download-20260403T124026Z-3-001_224929\1cv 4p nema56 12 50,60hz 65x97.4 605012175.pdf",957e3390b614b7c0499ab441aa17d9a64c675b9e1a628bca74da916ce9310c22,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_48|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,13
drive-download-20260403T124026Z-3-001_224929\1cv 4p nema56 12 60hz 45x97.4 605046030.pdf,e56e0cbc0369f937842ec9a57ee4d1cb386ea499758f0635161f0bcaca591932,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_48|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,14
