arquivo_rel,sha256_arquivo,queue_type,reason,sort
drive-download-20260403T124026Z-3-001_224929\605028115.pdf,2661df4e7d7c4e08a3c8180d6f1d3aa4d7be9cab0f4af0350b200a17ec6bbb41,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_44|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,1
drive-download-20260403T124026Z-3-001_224929\605028315.pdf,7d5025ab95af711383410e78a15e65acdfabb86b3a237d77bc75a2d805a0c029,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_44|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,2
drive-download-20260403T124026Z-3-001_224929\605028715.pdf,3fa9a1fb17e811b48acbe9e048f36d5fc6d49cef8fd2c0af871459563bd73154,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_44|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,3
drive-download-20260403T124026Z-3-001_224929\605029715.pdf,73dab5ef21ec52f95a5b95f9075ce3ed4b6c0d01c9bb18e6eecbdf78bc1fa21c,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_44|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,4
drive-download-20260403T124026Z-3-001_224929\605041001.pdf,60691ca298c07dc35d82598d3c640ef92276df1f7415a849a55547f5a6ca7dd3,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_44|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,5
drive-download-20260403T124026Z-3-001_224929\605058006.pdf,28d4145c1c32937c349ed86cb7df0210666bc1fb5754340705fbe48269eafae2,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_44|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,6
drive-download-20260403T124026Z-3-001_224929\605060004.pdf,f205dfb3b1b3c5a8bc6cd63bc2f70d00a50c1a7f6bcf2f8cecb84be565869502,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_44|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,7
drive-download-20260403T124026Z-3-001_224929\605061007.pdf,9e41c90526ee1814d311416c97e3f64054de21b3d814a06e7fd59d199582b064,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_44|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,8
drive-download-20260403T124026Z-3-001_224929\605064006.pdf,42b3d8d23058448eca56cd9dca840ef937e89827d3a594a6dd65a8fa8189d6e6,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_44|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,9
drive-download-20260403T124026Z-3-001_224929\605065007.pdf,65fe106f9a7e7e7e3831d86a06672b6f9f385c8f542164d6f8f5728d61c8ad05,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_44|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,10
drive-download-20260403T124026Z-3-001_224929\605065008.pdf,fb70d85294125496408616238d6f473ce8e7e85d62791c9194dc28475839e2f4,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_44|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,11
drive-download-20260403T124026Z-3-001_224929\605066008.pdf,b1a5ae1ae6e7d0b0d939f2f9ae3aeb740346de4af7f576796f4aa25883dacc92,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_44|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,12
drive-download-20260408T000443Z-3-001_253069\BOBI.PDF,775a68ef06ab88e4356b16f9a68450c35c44d4196ad25ce4cf65bcc988a198af,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_44|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,13
drive-download-20260408T000443Z-3-001_253069\Esquema Eletrico Geradores Branco.pdf,a70f0808a2546e26e841ee5eddfa9befc75e3cf5b8ed2b978afef46f2b139d99,NEW_UNPROCESSED_PASS1,operacao_rescue_pass1_block_44|from=eligible_funnel_fase6v|policy=relax_NO_AUTO_QUEUE_HISTORY|audit_admin|generated_offline,14
