id_local,arquivo_rel,sha256_arquivo,extract_status,categoria_pos_auditoria,reconcile_outcome,output_tag,motivo_interno
000001,drive-download-20260403T124026Z-3-001_224929\12.5cv 2p iec132 234 60hz 112x150 606502420.pdf,bcde71cb36a102307bbac954c94f80a00b0bacbcf9adf34454c539919a7730ed,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_48_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_48_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_48
000002,drive-download-20260403T124026Z-3-001_224929\12.5cv 4p iec132 24 60hz 148.9x190 605084014.pdf,bdae30c79a8632f26b3ce02de470659a72897d7ebc04ebd7f5b2e6f190f1c3d1,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_48_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_48_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_48
000003,drive-download-20260403T124026Z-3-001_224929\1cv 2p iec80 23 50hz 61.4x70 605028106.pdf,25f673567202b88f56a16794693d0d2fa1ebdcd7d94d27761e82dba9ac3c29d0,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_48_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_48_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_48
000004,drive-download-20260403T124026Z-3-001_224929\1cv 2p iec80 23 60hz 50x61.4 605015139.pdf,8e79be785cd2bfa1b0d7ece2b2071a1abcf8aa61b41a28fc379544b7a314c69b,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_48_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_48_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_48
000005,"drive-download-20260403T124026Z-3-001_224929\1cv 2p iec90 23 50,60hz 50x74.4 605015208.pdf",96664c70b8d3562bccf882700db201d57c7a40ceffa13a059f996f00bdde5d43,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_48_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_48_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_48
000006,drive-download-20260403T124026Z-3-001_224929\1cv 2p nema42 2 60hz 60x57.9 605012266.pdf,c9a7984cb48e631592d2637ebf81495a7d60bf2d2ca08ef3d8f6eb10f74bd0b3,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_48_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_48_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_48
000007,drive-download-20260403T124026Z-3-001_224929\1cv 2p nema42 23 60hz 70x57.9 605066006.pdf,8c9f90df3d5e79f32eacc2870646ffa11bc8334490eaa4d612128623efd7bf40,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_48_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_48_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_48
000008,drive-download-20260403T124026Z-3-001_224929\1cv 2p nema56 23 60hz 50x71.7 605015061.pdf,3d5c342700f30c9ca9243a5a4bd1a9573acf548b0d8e919307a339f7969a57dc,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_48_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_48_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_48
000009,drive-download-20260403T124026Z-3-001_224929\1cv 4p iec90 23 60hz 89.5x75 605039014.pdf,6745932b3ec80099e4230f00e02d3ee1c5cce1e6dcdd101bc95cb3f13a2079d6,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_48_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_48_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_48
000010,drive-download-20260403T124026Z-3-001_224929\1cv 4p nema42 23 60hz 60x68 605007189.pdf,04d5f1bcfb086ec72c23a567a70e97146162f8b0a8bda290686b0657b946bf05,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_48_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_48_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_48
000011,"drive-download-20260403T124026Z-3-001_224929\1cv 4p nema56 12 50,60hz 65x97.4 605012175.pdf",957e3390b614b7c0499ab441aa17d9a64c675b9e1a628bca74da916ce9310c22,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_48_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_48_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_48
000012,drive-download-20260403T124026Z-3-001_224929\1cv 4p nema56 12 60hz 45x97.4 605046030.pdf,e56e0cbc0369f937842ec9a57ee4d1cb386ea499758f0635161f0bcaca591932,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_48_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_48_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_48
000013,"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",8554fe74778230d315df2d5c011cf6e63b17896ca9da067fd00bd898e9731169,VERDE_AUTO_GEMINI,VERDE_COM_ALERTA,PASS1_V2_BLOCO_48_VERDE_COM_ALERTA,extraidos_motor_fase7a_pass1_v2_block_48_flash,categorize_VERDE_COM_ALERTA_PASS1_V2_BLOCO_48
