arquivo_rel,sha256_arquivo,queue_type,reason,sort
drive-download-20260408T000443Z-3-001_253069\REGULADOR EB.pdf,3941a5323343ec8afb44a4e43215ed063a740467972c92ded2ff9bd1adf891f9,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_35|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,1
drive-download-20260408T000443Z-3-001_253069\REGULADOR ESCOVA.pdf,f7167d64358bab48684fdfa3a4ffead8f992d058b5d7aa98dee97382707c951f,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_35|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,2
drive-download-20260408T000443Z-3-001_253069\ROT.PDF,4f273f067082d0739075a014e13e9362649c9259de4338ccc93e80463213e2ec,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_35|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,3
drive-download-20260408T000443Z-3-001_253069\TC.PDF,b3d821cb61759a3f86b2af646f7f9a153fcfbec75baa15a4661d5edc3a634b60,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_35|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,4
drive-download-20260408T000511Z-3-001_428675\60HZ_VENT-AVIARIO_MOTO-FRICCAO.pdf,c632d564f5a4bd25de842d2d12d6240c3d1adf80c83fe1fe1c05ad0aa2ac604b,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_35|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,5
drive-download-20260408T000511Z-3-001_428675\esquema vent. de ar.pdf,8ebb46f3aca104cae7d9b3396333b918601ef78ff2fe4ca23aaf4c87dba9c1bf,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_35|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,6
drive-download-20260408T000511Z-3-001_428675\ventilador de ar.pdf,4c8c4829112f926aec244c9e3eaf5a29f845ad997680f5f69161aedff8d6232e,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_35|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,7
drive-download-20260408T000517Z-3-001_345175\ventiladores 1.pdf,8f09f57788054e49017811558f2cfa1e87993e5fb9545dab1457454143034ca2,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_35|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,8
drive-download-20260408T000517Z-3-001_345175\ventiladores 2.pdf,26b82d895ad8b2fcebd1bc618332c9b151e81c56a6e5083891ec42c85c6ac2e8,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_35|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,9
drive-download-20260408T000517Z-3-001_345175\ventiladores 3.pdf,2faf8046401f30ff1c26f0e896e3fd6208e9d60aeb457115b8f416d899c65900,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_35|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,10
drive-download-20260408T000529Z-3-001_185960\VENTILADOR 3 VELOCIDADES.pdf,bec50336eab15235267630e1fdc0a7a5b3a85df01b4c91063f040336f48afc1d,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_35|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,11
