arquivo_rel,sha256_arquivo,queue_type,reason,sort
"drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf",4c693f23e4a6ff9e4af50a36d4bdb6ea15fdc31ad550a17ee98c706d8f8201ff,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_47|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,1
drive-download-20260403T124026Z-3-001_224929\1.25cv 4p nema56 12 60hz 90x97.4 605042351.pdf,ae6b43f057e6c83dd401898c1f899bb25802c55e69aceb4eb31ea6e6811b6023,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_47|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,2
"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",8554fe74778230d315df2d5c011cf6e63b17896ca9da067fd00bd898e9731169,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_47|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,3
drive-download-20260403T124026Z-3-001_224929\1.5cv 2p iec63r 2 260hz 30x48.8 605012162.pdf,b9e1dabfa89213fccd26318c43792c544f20f5cdec313a2ad63ab13320bada5f,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_47|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,4
drive-download-20260403T124026Z-3-001_224929\1.5cv 2p iec63r 2 260hz 30x48.8 605012206.pdf,72fd817f4be0ed4493054a887736abc1aa0c575b9907053f4d3373af8a6a3608,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_47|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,5
drive-download-20260403T124026Z-3-001_224929\1.5cv 2p iec90 23 60hz 74.4x65 605038017.pdf,4fbda923e57a9be527d6e758714b7a437e011b581153d5689439e753851e9cf0,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_47|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,6
drive-download-20260403T124026Z-3-001_224929\1.5cv 4p iec63r 2 150hz 50x56.4 605012172.pdf,3717393af02b94cf8d05adcfd0adec26230c93f414310669c7920b2aa3650ace,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_47|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,7
drive-download-20260403T124026Z-3-001_224929\1.5cv 4p iec80 23 60hz 95x82 605029007.pdf,e7e3ddf20638b226409c0e9a73971b91c0754c512a6f300a4825c21f5f7a24e5,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_47|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,8
drive-download-20260403T124026Z-3-001_224929\1.5cv 4p nema56 12 60hz 85x97.1 605012198.pdf,e64869de021e486b904799c6605812d123c419611bbb3ae3ea41014b7f7d0ae8,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_47|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,9
drive-download-20260403T124026Z-3-001_224929\1.5cv 4p nema56 24 60hz 90x97.4 605012255.pdf,bae994c942d1815570ad1913ff457143fc614a38ba041ab7420c053d617f88e5,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_47|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,10
drive-download-20260403T124026Z-3-001_224929\1.5cv 6p iec100 234 60hz 150x97.5 606506408.pdf,d45a879bc9164b0954f113ba32fbdc5816ef1887930eeb2f7b28edc7e4135fec,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_47|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,11
drive-download-20260403T124026Z-3-001_224929\1.5cv 6p iec90 23 60hz 110x89.4 605088507 r.pdf,42520a6c06a3b91d513325cb8a83d2daf4f52166d1f87feef47483f212158fd3,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_47|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,12
drive-download-20260403T124026Z-3-001_224929\1.5cv 6p iec90 23 60hz 110x89.4 605088507.pdf,b7de27e6ac6326b38ae212ebf253a832e367b91e0719b3258c909670839e9632,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_47|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,13
drive-download-20260403T124026Z-3-001_224929\10cv 2p iec132 234 60hz 112x140 606502419.pdf,f9386e7e559537741d61326c9677616070b985eab152461d19f759f6fcf1f5f8,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_47|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,14
