id_local,arquivo_rel,sha256_arquivo,categoria_pos_auditoria,registro_politica,audit_warnings_A,notas,output_tag
000001,"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",8554fe74778230d315df2d5c011cf6e63b17896ca9da067fd00bd898e9731169,VERDE_COM_ALERTA,VERDE_COM_ALERTA_COM_OBSERVACAO_A08_rpm_absoluto_absurdo_rpm=14000,A08_rpm_absoluto_absurdo_rpm=14000,A* categorize VCA + quality (pass1_v2_block_47).,extraidos_motor_fase7a_pass1_v2_block_47_flash
000002,drive-download-20260403T124026Z-3-001_224929\1.5cv 2p iec63r 2 260hz 30x48.8 605012162.pdf,b9e1dabfa89213fccd26318c43792c544f20f5cdec313a2ad63ab13320bada5f,VERDE_COM_ALERTA,VERDE_COM_ALERTA_COM_OBSERVACAO_A08_rpm_absoluto_absurdo_rpm=15190,A08_rpm_absoluto_absurdo_rpm=15190,A* categorize VCA + quality (pass1_v2_block_47).,extraidos_motor_fase7a_pass1_v2_block_47_flash
000003,drive-download-20260403T124026Z-3-001_224929\1.5cv 2p iec63r 2 260hz 30x48.8 605012206.pdf,72fd817f4be0ed4493054a887736abc1aa0c575b9907053f4d3373af8a6a3608,VERDE_COM_ALERTA,VERDE_COM_ALERTA_COM_OBSERVACAO_A08_rpm_absoluto_absurdo_rpm=15190,A08_rpm_absoluto_absurdo_rpm=15190,A* categorize VCA + quality (pass1_v2_block_47).,extraidos_motor_fase7a_pass1_v2_block_47_flash
000004,drive-download-20260403T124026Z-3-001_224929\1.5cv 4p iec63r 2 150hz 50x56.4 605012172.pdf,3717393af02b94cf8d05adcfd0adec26230c93f414310669c7920b2aa3650ace,VERDE_COM_ALERTA,VERDE_COM_ALERTA_COM_OBSERVACAO_A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=4210,A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=4210,A* categorize VCA + quality (pass1_v2_block_47).,extraidos_motor_fase7a_pass1_v2_block_47_flash
