id_local,arquivo_rel,sha256_arquivo,extract_status,categoria_pos_auditoria,reconcile_outcome,output_tag,motivo_interno
000001,drive-download-20260403T124026Z-3-001_224929\605013063.pdf,26163a48987dfb60dac25e023c24998b677fbfabaf4eec907c7599699e1dc877,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_57_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_57_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_57
000002,drive-download-20260403T124026Z-3-001_224929\605013074.pdf,00f15ee55c6612366a9c3a04757db44b99e9b4cc01d8e1b979fa072c673ed160,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_57_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_57_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_57
000003,drive-download-20260403T124026Z-3-001_224929\605013081.pdf,e9dae3bed2d563d56399a779858478004031f05b3b471d68e54b4c9c2446c570,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_57_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_57_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_57
000004,drive-download-20260403T124026Z-3-001_224929\605013082.pdf,0c9f260ced457931ba01225f5693d607007a00bbd8127ae3540cf1530cc39895,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_57_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_57_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_57
000005,drive-download-20260403T124026Z-3-001_224929\605013083.pdf,bc435aa03698c82a81c340ba7fa8cabb2239d3bd713c451e254db4c9cc1eab85,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_57_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_57_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_57
000006,drive-download-20260403T124026Z-3-001_224929\605013090.pdf,ff03cbe265df36ae7731e7445e343d20d288262dbd5e1d974fdf7f315463eee2,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_57_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_57_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_57
000007,drive-download-20260403T124026Z-3-001_224929\605013091.pdf,ea466b10a79994c4329cd96e59f482a3386bb0115e7b305f9b41c28a700b068b,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_57_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_57_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_57
000008,drive-download-20260403T124026Z-3-001_224929\605013098.pdf,8439e3ab6aae3503bf634e175452f43e08e776510d4d886d5364cb3492704cc6,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_57_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_57_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_57
000009,drive-download-20260403T124026Z-3-001_224929\605013110.pdf,1adacdcc7156ed2e51f44c84f79ba161dc7c522ba2dd660cc8928817d1749e0f,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_57_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_57_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_57
000010,drive-download-20260403T124026Z-3-001_224929\605013111.pdf,b6bb10c5f6fd2a6a26742d8abe12349223d248c6a701a07fa438acc42ba85a82,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_57_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_57_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_57
000011,drive-download-20260403T124026Z-3-001_224929\605013167.pdf,eab49c509e5c3500802c0157ee0346582b79ee7edce6a38f113eba179885962b,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_57_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_57_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_57
000012,"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",8554fe74778230d315df2d5c011cf6e63b17896ca9da067fd00bd898e9731169,VERDE_AUTO_GEMINI,VERDE_COM_ALERTA,PASS1_V2_BLOCO_57_VERDE_COM_ALERTA,extraidos_motor_fase7a_pass1_v2_block_57_flash,categorize_VERDE_COM_ALERTA_PASS1_V2_BLOCO_57
