arquivo_rel,sha256_arquivo,queue_type,reason,sort
drive-download-20260403T124026Z-3-001_224929\605060004.pdf,f205dfb3b1b3c5a8bc6cd63bc2f70d00a50c1a7f6bcf2f8cecb84be565869502,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_32|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,1
drive-download-20260403T124026Z-3-001_224929\605060006.pdf,e192b6d2e166e1e230789029771d1f854b81195e51c708e4c7aede51e7c41ae8,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_32|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,2
drive-download-20260403T124026Z-3-001_224929\605060007.pdf,cc4ceb20d8d57f1a0e18f464462b4570909a82cf8ffdfde6ce2458d25f2e4222,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_32|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,3
drive-download-20260403T124026Z-3-001_224929\605060008.pdf,46cfe83e52cb48b669a85cbbd875aae2049a5ab0b6dc1d03076e2eac530a6467,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_32|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,4
drive-download-20260403T124026Z-3-001_224929\605060009.pdf,16c79bc5a84daeacf6e4cafbfa0b5a1a4e5792d10fd53187492fc065a6120dc1,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_32|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,5
drive-download-20260403T124026Z-3-001_224929\605060706.pdf,9ec6b2d6d3647d0e15080a22f9ea75dc51b27991a5a9e2f338b86f9f2e1d4a81,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_32|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,6
drive-download-20260403T124026Z-3-001_224929\605060708.pdf,a14257852c5ce0e2fb79985556e9ce7d74e79826a84e300bc5495a6a56341121,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_32|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,7
drive-download-20260403T124026Z-3-001_224929\605061007.pdf,9e41c90526ee1814d311416c97e3f64054de21b3d814a06e7fd59d199582b064,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_32|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,8
drive-download-20260403T124026Z-3-001_224929\605061008.pdf,8ba134c16c6703d2850a233b17871429410a5a5e6d84aac2e75f8732b7b2fa4f,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_32|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,9
drive-download-20260403T124026Z-3-001_224929\605061009.pdf,995f5d830fe74b911169d578d672435d6dc5074fa80452e1e731149cd9c81319,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_32|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,10
drive-download-20260403T124026Z-3-001_224929\605061010.pdf,35eb1c42460c7952539cdd0c3181b7e2c71c9859ff25a19bd09e34d81bc8181f,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_32|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,11
drive-download-20260403T124026Z-3-001_224929\605062006.pdf,c1dd910bea4946d06ef24485d422f68b03f52e0bbf94021c04c5b4576f459a45,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_32|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,12
drive-download-20260403T124026Z-3-001_224929\605062007.pdf,495ef9dd4cb706893b44218e09c15bc1b2e172fcdef541a955cd754daa24c34c,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_32|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,13
drive-download-20260403T124026Z-3-001_224929\605062008.pdf,562de835f735fbe7eb4873a5a4183eaec95b3b2caae7c085d97f69109538f7cf,NEW_UNPROCESSED_PASS1,fase7a55_pass1_v2_block_32|from=universe_inventory_fase6v.sobra_real|policy=conservative_14_per_block,14
