arquivo_rel,sha256_arquivo,queue_type,reason,sort
drive-download-20260408T000529Z-3-001_185960\VENTILADOR 3 VELOCIDADES.pdf,bec50336eab15235267630e1fdc0a7a5b3a85df01b4c91063f040336f48afc1d,PENDENCY_INFRA_RETRY,from=pass1_v2_block_61.csv|ventilador_priority|infra=gemini_quota_or_keys|massa_inedita_fisica_block_69|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,1
drive-download-20260408T000511Z-3-001_428675\esquema vent. de ar.pdf,8ebb46f3aca104cae7d9b3396333b918601ef78ff2fe4ca23aaf4c87dba9c1bf,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_68_manual_review.csv|massa_inedita_fisica_block_69|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,2
drive-download-20260408T000529Z-3-001_185960\1d217467-02db-4a7f-8017-ea2f9ac0a715.jpg,722e1918a138b180323cb1e4cd96cf926ccf631ea54592d06daa0b5edd9c95b4,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_68_manual_review.csv|massa_inedita_fisica_block_69|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,3
drive-download-20260408T000529Z-3-001_185960\1d9b3430-0b16-4701-b724-661974ff8b49.jpg,b0a01317980d34640ecc25c37cf4f21ddfcbe3675c621d94edd5ec91cc0cb451,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_68_manual_review.csv|massa_inedita_fisica_block_69|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,4
drive-download-20260408T000529Z-3-001_185960\324e6cbc-2bab-43ed-9303-2d560b1da7ec.jpg,087cced75075cc99f0f1af1e0e6c40b008c451dc9b07ec0fc0b25669c404b90f,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_68_manual_review.csv|massa_inedita_fisica_block_69|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,5
drive-download-20260408T000529Z-3-001_185960\8bc49b76-90d1-4f38-bd2f-86cd93ad3689.jpg,74e0992b8389bf83fe84625eec0173f993986dd5844272ee2a64003283e9a97e,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_68_manual_review.csv|massa_inedita_fisica_block_69|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,6
drive-download-20260408T000529Z-3-001_185960\bda2a6e0-62ba-4738-8a58-964852f4ad8d.jpg,3e0270c1ace0828b6b71b592e7d287358ba0a92b54c28ee6fe361c53679e49cb,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_68_manual_review.csv|massa_inedita_fisica_block_69|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,7
drive-download-20260408T000529Z-3-001_185960\dc81f9cf-0541-4d2d-87c5-686e9c194c01.jpg,4e1396673e688ee53dc5d33e9af2605ace7ba119704408620c52777fb0d2a1e4,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_68_manual_review.csv|massa_inedita_fisica_block_69|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,8
drive-download-20260408T000529Z-3-001_185960\f837d1fb-1d86-4e42-aa6a-9eaa9c696086.jpg,a07d0fa88284652793db13d4bf083290cb098c575f63b4198891a507ccbd3484,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_68_manual_review.csv|massa_inedita_fisica_block_69|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,9
drive-download-20260408T000605Z-3-001_290649\arno.jpg,a7f7b6c052e85fde55e29c61590bfc5d3e3c0b181d2fd6e354a98c8905319129,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_68_manual_review.csv|massa_inedita_fisica_block_69|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,10
drive-download-20260408T000443Z-3-001_253069\REGULADOR CR.pdf,ebd33a6dc9161c8f2bcf50cff3a45d813f6fd22aefdfa95313a899fa8cffe722,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_34.csv|massa_inedita_fisica_block_69|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,11
drive-download-20260408T000629Z-3-001_255314\24.jpg,68dbbb03de2225c426a50126e46005d3ce0b65107f748ca0d8c420bc098c0f78,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_46.csv|massa_inedita_fisica_block_69|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,12
drive-download-20260408T000629Z-3-001_255314\BUFALO 1.jpg,b0ede218d47b99dc0d7fe804af57839537c2bb657f3e8888983281aba9efd5d0,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_46.csv|massa_inedita_fisica_block_69|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,13
drive-download-20260408T000629Z-3-001_255314\BUFALO 2(1).jpg,050626a632fda7bcc294ec5faa7264e73caf08b4fb510c532dd2e7485ac5eb59,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_46.csv|massa_inedita_fisica_block_69|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,14
