arquivo_rel,sha256_arquivo,queue_type,reason,sort
drive-download-20260408T000511Z-3-001_428675\esquema vent. de ar.pdf,8ebb46f3aca104cae7d9b3396333b918601ef78ff2fe4ca23aaf4c87dba9c1bf,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_61_manual_review.csv|massa_inedita_fisica_block_62|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,1
drive-download-20260408T000517Z-3-001_345175\ventiladores 3.pdf,2faf8046401f30ff1c26f0e896e3fd6208e9d60aeb457115b8f416d899c65900,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_61_manual_review.csv|massa_inedita_fisica_block_62|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,2
drive-download-20260408T000529Z-3-001_185960\1d217467-02db-4a7f-8017-ea2f9ac0a715.jpg,722e1918a138b180323cb1e4cd96cf926ccf631ea54592d06daa0b5edd9c95b4,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_61_manual_review.csv|massa_inedita_fisica_block_62|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,3
drive-download-20260408T000529Z-3-001_185960\1d9b3430-0b16-4701-b724-661974ff8b49.jpg,b0a01317980d34640ecc25c37cf4f21ddfcbe3675c621d94edd5ec91cc0cb451,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_61_manual_review.csv|massa_inedita_fisica_block_62|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,4
drive-download-20260408T000529Z-3-001_185960\324e6cbc-2bab-43ed-9303-2d560b1da7ec.jpg,087cced75075cc99f0f1af1e0e6c40b008c451dc9b07ec0fc0b25669c404b90f,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_61_manual_review.csv|massa_inedita_fisica_block_62|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,5
drive-download-20260408T000517Z-3-001_345175\ventiladores 2.pdf,26b82d895ad8b2fcebd1bc618332c9b151e81c56a6e5083891ec42c85c6ac2e8,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_35_manual_review.csv|massa_inedita_fisica_block_62|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,6
drive-download-20260408T000529Z-3-001_185960\VENTILADOR 3 VELOCIDADES.pdf,bec50336eab15235267630e1fdc0a7a5b3a85df01b4c91063f040336f48afc1d,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_35_manual_review.csv|massa_inedita_fisica_block_62|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,7
drive-download-20260408T000443Z-3-001_253069\REGULADOR CR.pdf,ebd33a6dc9161c8f2bcf50cff3a45d813f6fd22aefdfa95313a899fa8cffe722,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_34.csv|massa_inedita_fisica_block_62|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,8
drive-download-20260408T000517Z-3-001_345175\ventiladores 1.pdf,8f09f57788054e49017811558f2cfa1e87993e5fb9545dab1457454143034ca2,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_35.csv|massa_inedita_fisica_block_62|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,9
drive-download-20260408T000529Z-3-001_185960\8bc49b76-90d1-4f38-bd2f-86cd93ad3689.jpg,74e0992b8389bf83fe84625eec0173f993986dd5844272ee2a64003283e9a97e,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_62|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,10
drive-download-20260408T000529Z-3-001_185960\8e10ff26-16ed-46a3-988c-2d700c4bc021.jpg,024f3f6778150678e2cb4a95fe9117b70b72eda038548c9defb37312ea0cd364,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_62|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,11
drive-download-20260408T000529Z-3-001_185960\90617606-2fdf-4657-ae80-5b5879bc50e0.jpg,231b013279d29454038b096499bf55fffa2f7f128b0d1fc4387de03a0da59308,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_62|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,12
drive-download-20260408T000529Z-3-001_185960\bda2a6e0-62ba-4738-8a58-964852f4ad8d.jpg,3e0270c1ace0828b6b71b592e7d287358ba0a92b54c28ee6fe361c53679e49cb,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_62|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,13
drive-download-20260408T000529Z-3-001_185960\dc81f9cf-0541-4d2d-87c5-686e9c194c01.jpg,4e1396673e688ee53dc5d33e9af2605ace7ba119704408620c52777fb0d2a1e4,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_62|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,14
