id_local,arquivo_rel,sha256_arquivo,extract_status,categoria_pos_auditoria,reconcile_outcome,output_tag,motivo_interno
000001,drive-download-20260403T124026Z-3-001_224929\2cv 4p iec90 23 60hz 120x89.4 605013241 r.pdf,ad56bbad57f3844cbb548861c0a6add2f911d468e0a95a5a2b61d66f0b626aca,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_50_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_50_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_50
000002,drive-download-20260403T124026Z-3-001_224929\2cv 4p iec90 23 60hz 120x89.4 605013241.pdf,0f0ff5e1726317097504af484c58dac7b7006f8bfa73c80199a0f605eb1e091a,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_50_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_50_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_50
000003,drive-download-20260403T124026Z-3-001_224929\2cv 4p iec90 24 60hz 89.4x100 605165008.pdf,9f43831dc1560ddd1ec7c500c4d89cea6b3838116d44d9c061a192c163a254a1,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_50_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_50_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_50
000004,drive-download-20260403T124026Z-3-001_224929\2cv 4p nema56 12 60hz 100x97.1 605012199.pdf,cb0cf2cca244ecd3a012ae2d30de6abaf1ef6e536fb57866b9f2627d31a659a5,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_50_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_50_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_50
000005,drive-download-20260403T124026Z-3-001_224929\2cv 4p nema56 12 60hz 130x97.1 605012251 r.pdf,ba6a9fae341df4e86ad3edba66482051ed54975f5547d6042fb39113b6c1f8d7,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_50_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_50_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_50
000006,drive-download-20260403T124026Z-3-001_224929\2cv 4p nema56 12 60hz 130x97.1 605012251.pdf,7a0c4f1d9334989c05ed2fc5a0bc54ea027718a6f62b2f9911c3ae596358e1e6,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_50_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_50_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_50
000007,drive-download-20260403T124026Z-3-001_224929\2cv 4p nema56 12 60hz 97.4x100 605046033.pdf,14feb3e21e3ac1065f7d3c1049266bc6ee7031b6ce7607114c8d743d96b5886b,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_50_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_50_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_50
000008,drive-download-20260403T124026Z-3-001_224929\2cv 6p iec100 23 60hz 110x97.3 605072008.pdf,98c830283cf0cef141bf6c215caa0185550ae55f6a09b4fd052dc4a58a947692,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_50_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_50_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_50
000009,drive-download-20260403T124026Z-3-001_224929\2cv 6p iec100 234 60hz 97.5x150 606506409.pdf,561080598abaa71ea65febca064118a5cfbe373847906039b4b17d7878b8a45c,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_50_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_50_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_50
000010,"drive-download-20260403T124026Z-3-001_224929\3,4cv 2p iec80 23 60hz 50x61.4 605015138.pdf",1dee2ba3912022358ea4b3744d329746e07e4d85f43b13434a218d1eaa524014,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_50_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_50_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_50
000011,"drive-download-20260403T124026Z-3-001_224929\3,4cv 2p nema56 23 60hz 40x71.7 605015130.pdf",ad46629beb8ee05d9b76ef0047cbbd3ad20365faec25e7ec1f34961d1dc1f5f6,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_50_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_50_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_50
000012,"drive-download-20260403T124026Z-3-001_224929\3,4cv 4p nema42 234 60hz 68.1x80 605012401.pdf",408f9e2f7add5869623ebe41336ba2ea0df1015e1dabce4dc75f99026bdcbcdc,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_50_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_50_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_50
000013,"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",8554fe74778230d315df2d5c011cf6e63b17896ca9da067fd00bd898e9731169,VERDE_AUTO_GEMINI,VERDE_COM_ALERTA,PASS1_V2_BLOCO_50_VERDE_COM_ALERTA,extraidos_motor_fase7a_pass1_v2_block_50_flash,categorize_VERDE_COM_ALERTA_PASS1_V2_BLOCO_50
